"ulb","applicationno","businessservice","createdtime","applicationdate","status","approvalno","approvaldate"
"Bhubaneswar","BP-BMC-2022-03-02-001295","BPA1","2022-03-02",NULL,"INITIATED",NULL,NULL
"Cuttack","OD-BP-2021-02-12-000003","BPA1","2021-02-12",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-31-000603","BPA2","2022-01-31","2022-02-01","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2022-02-10-000794","BPA1","2022-02-10",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2021-10-01-000080","BPA1","2021-10-01",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-01-001253","BPA1","2022-03-01",NULL,"INITIATED",NULL,NULL
"Sambalpur","BP-SMB-2021-12-09-000187","BPA1","2021-12-09",NULL,"INITIATED",NULL,NULL
"Cuttackdevelopmentauthority","BP-CDA-2022-03-09-001550","BPA2","2022-03-09",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-01-07-000271","BPA1","2022-01-07",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Cuttack","OD-BP-2021-02-12-000004","BPA1","2021-02-12","2021-02-12","APPROVED","OD-BP-2021-02-12-000003","2021-02-12"
"Rourkela","BP-RRK-2021-11-16-000155","BPA1","2021-11-16","2021-12-02","APPROVED","BP/RRK/000015","2021-12-10"
"Bhubaneswar","BP-BMC-2022-04-21-002717","BPA2","2022-04-21","2022-04-22","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2021-11-16-000154","BPA1","2021-11-16","2021-12-03","APPROVED","BP/RRK/000027","2022-01-11"
"Cuttack","OD-BP-2021-02-12-000001","BPA1","2021-02-12","2021-02-12","APPROVED","OD-BP-2021-02-12-000001","2021-02-12"
"Sambalpur","OD-BP-2021-07-14-000073","BPA1","2021-07-14","2021-07-16","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-02-000649","BPA1","2022-02-02",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2021-09-21-000079","BPA1","2021-09-21",NULL,"APPROVED","BP/RRK/000009","2021-11-24"
"Sambalpur","BP-SMB-2021-09-03-000075","BPA1","2021-09-03","2021-09-03","APPROVED","BP-SMB-2021-09-07-000004","2021-09-07"
"Berhampur","BP-BAM-2021-11-16-000157","BPA1","2021-11-16","2021-11-16","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2021-09-13-000078","BPA1","2021-09-13","2021-09-13","APPROVED","BP/RRK/000005","2021-09-18"
"Rourkela","BP-RRK-2021-11-20-000166","BPA1","2021-11-20","2021-11-23","APPROVED","BP/RRK/000013","2021-12-04"
"Rourkela","BP-RRK-2021-09-13-000076","BPA1","2021-09-13","2021-09-13","APPROVED","BP/RRK/000007",NULL
"Cuttack","BP-CTC-2022-04-12-002477","BPA3","2022-04-12",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2021-09-13-000077","BPA1","2021-09-13",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Berhampur","BP-BAM-2022-04-22-002773","BPA1","2022-04-22",NULL,"INITIATED",NULL,NULL
"Sambalpur","BP-SMB-2021-08-15-000074","BPA2","2021-08-15","2021-08-30","APPROVED","BP/SMB/000006","2021-09-21"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-08-000737","BPA1","2022-02-08",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2021-12-03-000174","BPA1","2021-12-03","2021-12-15","APPROVED","BP/RRK/000026","2022-01-08"
"Bhubaneswar","BP-BMC-2022-01-13-000347","BPA1","2022-01-13",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Sambalpur","BP-SMB-2022-01-14-000354","BPA1","2022-01-14",NULL,"INITIATED",NULL,NULL
"Sambalpur","BP-SMB-2022-01-16-000379","BPA1","2022-01-16",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-01-23-000514","BPA1","2022-01-23",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-02-002115","BPA2","2022-04-02",NULL,"PENDING_APPL_FEE",NULL,NULL
"Rourkela","BP-RRK-2021-11-16-000158","BPA1","2021-11-16","2021-12-02","APPROVED","BP/RRK/000022","2021-12-21"
"Berhampur","BP-BAM-2021-12-27-000217","BPA1","2021-12-27",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2021-11-15-000152","BPA1","2021-11-15","2021-11-15","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2021-12-20-000202","BPA1","2021-12-20","2021-12-21","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-26-000542","BPA1","2022-01-26",NULL,"INITIATED",NULL,NULL
"Cuttack","OD-BP-2021-02-12-000002","BPA3","2021-02-12","2021-02-12","APPROVED","OD-BP-2021-02-12-000002","2021-02-12"
"Berhampur","BP-BAM-2021-11-18-000162","BPA1","2021-11-18","2021-11-20","APPROVED","BP/BAM/000010","2021-11-27"
"Bhubaneswar","BP-BMC-2022-02-11-000810","BPA1","2022-02-11",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-01-15-000361","BPA1","2022-01-15",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-14-001665","BPA1","2022-03-14","2022-04-11","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2021-11-17-000160","BPA1","2021-11-17","2021-11-17","APPROVED","BP/SMB/000016","2021-12-13"
"Rourkela","BP-RRK-2021-11-25-000169","BPA1","2021-11-25","2021-11-25","APPROVED","BP/RRK/000138","2022-04-28"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-09-003401","BPA1","2022-05-09",NULL,"INITIATED",NULL,NULL
"Sambalpur","BP-SMB-2021-11-22-000167","BPA1","2021-11-22","2021-11-22","APPROVED","BP/SMB/000017","2021-12-14"
"Berhampur","BP-BAM-2022-05-10-003460","BPA1","2022-05-10",NULL,"INITIATED",NULL,NULL
"Sambalpur","BP-SMB-2021-11-15-000153","BPA1","2021-11-15","2021-11-16","APPROVED","BP/SMB/000011","2021-12-02"
"Sambalpur","BP-SMB-2022-01-18-000425","BPA1","2022-01-18",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2021-11-25-000170","BPA1","2021-11-25","2021-11-29","APPROVED","BP/RRK/000012","2021-12-03"
"Berhampur","BP-BAM-2021-11-18-000163","BPA1","2021-11-18","2021-11-19","APPROVED","BP/BAM/000021","2021-12-18"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-17-001799","BPA2","2022-03-17","2022-04-22","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2021-11-24-000168","BPA2","2021-11-24","2021-12-06","CITIZEN_ACTION_PENDING_AT_APP_L1_VERIF",NULL,NULL
"Rourkela","BP-RRK-2021-12-03-000173","BPA1","2021-12-03","2021-12-18","REJECTED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-28-000561","BPA1","2022-01-28","2022-01-28","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-26-001193","BPA1","2022-02-26",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-02-001300","BPA1","2022-03-02","2022-03-04","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-15-000363","BPA1","2022-01-15",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Berhampur","BP-BAM-2021-11-20-000165","BPA1","2021-11-20","2021-11-20","APPROVED","BP/BAM/000014","2021-12-07"
"Berhampurdevelopmentauthority","BP-BED-2022-01-17-000403","BPA1","2022-01-17",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2021-12-02-000172","BPA1","2021-12-02","2021-12-02","APPROVED","BP/RRK/000023","2021-12-21"
"Sambalpur","BP-SMB-2022-01-28-000559","BPA1","2022-01-28",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2021-12-28-000221","BPA2","2021-12-28",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-06-000692","BPA1","2022-02-06","2022-02-06","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2021-12-29-000227","BPA1","2021-12-29",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2021-12-09-000188","BPA1","2021-12-09","2021-12-15","APPROVED","BP/RRK/000025","2022-01-06"
"Bhubaneswar","BP-BMC-2022-02-03-000674","BPA1","2022-02-03",NULL,"PENDING_APPL_FEE",NULL,NULL
"Rourkela","BP-RRK-2021-11-16-000156","BPA1","2021-11-16","2021-12-02","APPROVED","BP/RRK/000018","2021-12-14"
"Rourkela","BP-RRK-2021-11-17-000161","BPA1","2021-11-17","2021-12-02","APPROVED","BP/RRK/000019","2021-12-15"
"Rourkela","BP-RRK-2021-11-15-000151","BPA1","2021-11-15","2021-12-02","APPROVED","BP/RRK/000020","2021-12-15"
"Bhubaneswar","BP-BMC-2022-01-24-000535","BPA1","2022-01-24",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-20-000456","BPA2","2022-01-20",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-20-000463","BPA1","2022-01-20",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2021-12-31-000237","BPA2","2021-12-31",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-18-003692","BPA1","2022-05-18",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-31-000606","BPA1","2022-01-31",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-09-000767","BPA1","2022-02-09",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-03-000244","BPA2","2022-01-03",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-01-000625","BPA2","2022-02-01",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Sambalpur","BP-SMB-2022-01-18-000426","BPA1","2022-01-18",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-26-001198","BPA1","2022-02-26",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-09-000766","BPA2","2022-02-09",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Berhampur","BP-BAM-2021-11-20-000164","BPA1","2021-11-20","2021-11-20","APPROVED","BP/BAM/000037","2022-02-07"
"Bhubaneswar","BP-BMC-2022-05-01-003095","BPA1","2022-05-01",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-12-000835","BPA1","2022-02-12",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-28-001982","BPA1","2022-03-28","2022-03-29","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-14-000355","BPA1","2022-01-14",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2021-12-09-000189","BPA1","2021-12-09","2021-12-15","APPROVED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-18-001821","BPA2","2022-03-18","2022-05-19","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-17-003668","BPA1","2022-05-17",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-09-000759","BPA1","2022-02-09",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-20-000469","BPA1","2022-01-20",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Cuttack","BP-CTC-2021-12-27-000214","BPA2","2021-12-27",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-04-003189","BPA1","2022-05-04","2022-05-05","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-13-000345","BPA1","2022-01-13",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-03-000248","BPA1","2022-01-03",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-09-002388","BPA1","2022-04-09",NULL,"PENDING_APPL_FEE",NULL,NULL
"Sambalpur","BP-SMB-2022-01-14-000353","BPA1","2022-01-14",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2021-11-16-000159","BPA1","2021-11-16","2021-11-24","APPROVED",NULL,NULL
"Cuttack","BP-CTC-2022-04-03-002149","BPA1","2022-04-03","2022-04-04","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-06-000693","BPA1","2022-02-06",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-15-000359","BPA1","2022-01-15",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-21-001864","BPA2","2022-03-21","2022-03-23","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-15-000372","BPA2","2022-01-15",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-09-000295","BPA1","2022-01-09",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-10-000318","BPA1","2022-01-10",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-10-000296","BPA1","2022-01-10",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-01-17-000400","BPA1","2022-01-17",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-17-000399","BPA1","2022-01-17",NULL,"PENDING_APPL_FEE",NULL,NULL
"Sambalpur","BP-SMB-2022-01-18-000424","BPA1","2022-01-18",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2021-12-03-000175","BPA1","2021-12-03","2022-01-06","APPROVED","BP/RRK/000028","2022-01-20"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-26-001203","BPA3","2022-02-26",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-30-002048","BPA2","2022-03-30",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-07-001457","BPA1","2022-03-07",NULL,"PENDING_APPL_FEE",NULL,NULL
"Rourkela","BP-RRK-2022-01-09-000294","BPA1","2022-01-09","2022-01-24","APPROVED","BP/RRK/000038","2022-02-07"
"Rourkela","BP-RRK-2022-03-16-001747","BPA1","2022-03-16",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-08-000747","BPA1","2022-02-08","2022-02-08","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-01-08-000288","BPA1","2022-01-08","2022-01-08","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Rourkela","BP-RRK-2022-02-24-001110","BPA1","2022-02-24","2022-03-03","APPROVED","BP/RRK/000075","2022-03-28"
"Bhubaneswar","BP-BMC-2022-03-29-002003","BPA1","2022-03-29",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-12-002480","BPA2","2022-04-12",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-10-001565","BPA2","2022-03-10","2022-03-10","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-12-001637","BPA1","2022-03-12","2022-03-12","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-04-06-002271","BPA1","2022-04-06",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-02-002117","BPA2","2022-04-02",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-08-001473","BPA1","2022-03-08","2022-03-08","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2021-12-31-000236","BPA1","2021-12-31","2021-12-31","APPROVED","BP/RRK/000035","2022-02-02"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-24-001924","BPA1","2022-03-24",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-21-000474","BPA2","2022-01-21",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-29-001999","BPA1","2022-03-29","2022-03-30","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-03-03-001316","BPA1","2022-03-03","2022-03-03","APPROVED","BP/BAM/000086","2022-04-02"
"Bhubaneswar","BP-BMC-2022-01-27-000552","BPA2","2022-01-27",NULL,"INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-20-000459","BPA1","2022-01-20","2022-01-20","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2022-03-18-001824","BPA1","2022-03-18","2022-03-18","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-09-002389","BPA1","2022-04-09","2022-04-15","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-03-000242","BPA1","2022-01-03","2022-01-06","APPROVED","BP/RRK/000033","2022-02-02"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-04-003154","BPA1","2022-05-04","2022-05-04","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-04-002172","BPA2","2022-04-04","2022-04-09","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-04-000678","BPA1","2022-02-04","2022-02-05","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2022-05-18-003693","BPA1","2022-05-18","2022-05-18","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-04-001345","BPA1","2022-03-04","2022-03-04","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-10-000789","BPA1","2022-02-10",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-24-000523","BPA2","2022-01-24",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-25-000538","BPA2","2022-01-25",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Udala","BP-UDL-2022-01-22-000513","BPA1","2022-01-22","2022-01-25","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-02-000655","BPA1","2022-02-02",NULL,"PENDING_APPL_FEE",NULL,NULL
"Rourkela","BP-RRK-2022-01-22-000510","BPA1","2022-01-22","2022-01-22","APPROVED","BP/RRK/000031","2022-02-01"
"Bhubaneswar","BP-BMC-2022-02-26-001205","BPA1","2022-02-26",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-01-09-000293","BPA1","2022-01-09","2022-01-09","APPROVED","BP/RRK/000029","2022-01-27"
"Bhubaneswar","BP-BMC-2022-03-07-001463","BPA2","2022-03-07",NULL,"INITIATED",NULL,NULL
"Sambalpurdevelopmentauthority","BP-SDA-2022-02-09-000769","BPA1","2022-02-09",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-13-003559","BPA1","2022-05-13","2022-05-13","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-01-000620","BPA2","2022-02-01",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-04-003162","BPA1","2022-05-04",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-08-002345","BPA2","2022-04-08","2022-04-27","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-24-001927","BPA1","2022-03-24",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-02-001307","BPA1","2022-03-02",NULL,"PENDING_APPL_FEE",NULL,NULL
"Sundargarh","BP-SNG-2022-05-18-003694","BPA2","2022-05-18",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-05-06-003306","BPA1","2022-05-06",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-12-003545","BPA1","2022-05-12",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-21-001029","BPA1","2022-02-21","2022-02-21","APPROVED","BP/BDA/000079","2022-03-30"
"Berhampur","BP-BAM-2022-02-17-000937","BPA1","2022-02-17","2022-02-17","APPROVED","BP/BAM/000057","2022-03-05"
"Chatrapur","BP-CHH-2022-05-19-003734","BPA1","2022-05-19",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-19-003712","BPA1","2022-05-19","2022-05-19","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-04-001358","BPA2","2022-03-04","2022-03-15","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-19-003736","BPA1","2022-05-19","2022-05-19","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-11-000805","BPA1","2022-02-11",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-26-001206","BPA3","2022-02-26",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-02-11-000817","BPA1","2022-02-11","2022-02-11","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-12-001639","BPA1","2022-03-12",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-04-001360","BPA1","2022-03-04",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-01-08-000287","BPA1","2022-01-08","2022-01-08","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-13-000337","BPA1","2022-01-13","2022-02-12","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-04-001380","BPA3","2022-03-04",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-01-08-000290","BPA1","2022-01-08","2022-01-08","APPROVED","BP/BAM/000032","2022-02-01"
"Bhubaneswar","BP-BMC-2022-03-02-001309","BPA1","2022-03-02","2022-03-04","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-02-08-000742","BPA1","2022-02-08",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-30-002041","BPA3","2022-03-30",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-01-29-000583","BPA2","2022-01-29",NULL,"INITIATED",NULL,NULL
"Sambalpur","BP-SMB-2022-02-08-000751","BPA1","2022-02-08",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-29-000584","BPA1","2022-01-29",NULL,"PENDING_APPL_FEE",NULL,NULL
"Rourkela","BP-RRK-2021-12-15-000197","BPA1","2021-12-15",NULL,"APPROVED","BP/RRK/000034","2022-02-02"
"Berhampur","BP-BAM-2022-01-08-000286","BPA1","2022-01-08","2022-01-08","APPROVED","BP/BAM/000030","2022-01-29"
"Berhampur","BP-BAM-2022-01-08-000291","BPA2","2022-01-08","2022-01-08","APPROVED","BP/BAM/000036","2022-02-03"
"Sambalpur","BP-SMB-2022-02-07-000722","BPA1","2022-02-07","2022-02-12","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-04-001361","BPA1","2022-03-04",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-01-01-000238","BPA1","2022-01-01","2022-01-02","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-05-07-003308","BPA1","2022-05-07",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-11-003485","BPA2","2022-05-11",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-02-001274","BPA1","2022-03-02",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-02-001310","BPA2","2022-03-02","2022-03-03","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Jatni","BP-JTN-2022-03-05-001392","BPA1","2022-03-05","2022-03-07","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-24-001928","BPA1","2022-03-24",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-19-002611","BPA1","2022-04-19",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-05-001393","BPA1","2022-03-05",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-12-003546","BPA1","2022-05-12",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-08-000727","BPA2","2022-02-08","2022-02-08","APPROVAL_INPROGRESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-03-09-001515","BPA1","2022-03-09","2022-03-09","APPROVED","BP/BED/000087","2022-04-03"
"Bhubaneswar","BP-BMC-2022-05-05-003249","BPA1","2022-05-05","2022-05-06","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-02-001275","BPA1","2022-03-02","2022-03-03","APPROVED","BP/BDA/000100","2022-04-11"
"Berhampur","BP-BAM-2022-04-24-002822","BPA1","2022-04-24",NULL,"INPROGRESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-02-05-000691","BPA1","2022-02-05",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Berhampur","BP-BAM-2022-03-04-001364","BPA1","2022-03-04",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-08-000745","BPA2","2022-02-08","2022-02-09","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
